libdc1394 error: Failed to initialize libdc1394
Training net...

Iteration     0: accuracy_at_1 = 65.62%; accuracy_at_5 = 79.69%; loss = 1.568146 
Iteration   210: accuracy_at_1 = 54.69%; accuracy_at_5 = 84.38%; loss = 1.883256  (1.402612 s/it)
Iteration   220: accuracy_at_1 = 57.81%; accuracy_at_5 = 82.81%; loss = 1.750185  (1.403529 s/it)
Iteration   230: accuracy_at_1 = 46.88%; accuracy_at_5 = 85.94%; loss = 1.694086  (1.403113 s/it)
Iteration   240: accuracy_at_1 = 42.19%; accuracy_at_5 = 64.06%; loss = 2.364644  (1.402043 s/it)
Iteration   250: accuracy_at_1 = 39.06%; accuracy_at_5 = 75.00%; loss = 2.143660  (1.403382 s/it)
Iteration   260: accuracy_at_1 = 53.12%; accuracy_at_5 = 84.38%; loss = 1.854200  (1.402589 s/it)
Iteration   270: accuracy_at_1 = 50.00%; accuracy_at_5 = 82.81%; loss = 1.792204  (1.402495 s/it)
Iteration   280: accuracy_at_1 = 43.75%; accuracy_at_5 = 70.31%; loss = 2.097481  (1.403230 s/it)
Iteration   290: accuracy_at_1 = 39.06%; accuracy_at_5 = 81.25%; loss = 2.095164  (1.402774 s/it)
Iteration   300: accuracy_at_1 = 50.00%; accuracy_at_5 = 78.12%; loss = 1.800154  (1.402937 s/it)
Iteration   310: accuracy_at_1 = 53.12%; accuracy_at_5 = 84.38%; loss = 1.736406  (1.403852 s/it)
Iteration   320: accuracy_at_1 = 42.19%; accuracy_at_5 = 79.69%; loss = 1.965020  (1.403431 s/it)
Iteration   330: accuracy_at_1 = 42.19%; accuracy_at_5 = 78.12%; loss = 1.986206  (1.403250 s/it)
Iteration   340: accuracy_at_1 = 50.00%; accuracy_at_5 = 76.56%; loss = 1.815813  (1.403993 s/it)
Iteration   350: accuracy_at_1 = 43.75%; accuracy_at_5 = 78.12%; loss = 2.088064  (1.403545 s/it)
Iteration   360: accuracy_at_1 = 59.38%; accuracy_at_5 = 84.38%; loss = 1.553667  (1.402486 s/it)
Iteration   370: accuracy_at_1 = 45.31%; accuracy_at_5 = 73.44%; loss = 1.994637  (1.402968 s/it)
Iteration   380: accuracy_at_1 = 40.62%; accuracy_at_5 = 67.19%; loss = 2.320707  (1.403224 s/it)
Iteration   390: accuracy_at_1 = 57.81%; accuracy_at_5 = 81.25%; loss = 1.669809  (1.403877 s/it)
Iteration   400: accuracy_at_1 = 43.75%; accuracy_at_5 = 78.12%; loss = 1.852848  (1.402902 s/it)
Iteration   410: accuracy_at_1 = 46.88%; accuracy_at_5 = 89.06%; loss = 1.770263  (1.403342 s/it)
Iteration   420: accuracy_at_1 = 51.56%; accuracy_at_5 = 79.69%; loss = 1.747676  (1.402781 s/it)
Iteration   430: accuracy_at_1 = 46.88%; accuracy_at_5 = 71.88%; loss = 2.010573  (1.402909 s/it)
Iteration   440: accuracy_at_1 = 53.12%; accuracy_at_5 = 78.12%; loss = 1.816823  (1.404110 s/it)
Iteration   450: accuracy_at_1 = 65.62%; accuracy_at_5 = 84.38%; loss = 1.381213  (1.403480 s/it)
Iteration   460: accuracy_at_1 = 51.56%; accuracy_at_5 = 84.38%; loss = 1.640231  (1.402596 s/it)
Iteration   470: accuracy_at_1 = 53.12%; accuracy_at_5 = 87.50%; loss = 1.671056  (1.403661 s/it)
Iteration   480: accuracy_at_1 = 50.00%; accuracy_at_5 = 79.69%; loss = 1.707621  (1.403633 s/it)
Iteration   490: accuracy_at_1 = 42.19%; accuracy_at_5 = 73.44%; loss = 1.952148  (1.402947 s/it)
Iteration   500: accuracy_at_1 = 46.88%; accuracy_at_5 = 78.12%; loss = 2.018030  (1.403467 s/it)
Iteration   510: accuracy_at_1 = 45.31%; accuracy_at_5 = 82.81%; loss = 1.879436  (1.404242 s/it)
Iteration   520: accuracy_at_1 = 54.69%; accuracy_at_5 = 76.56%; loss = 1.849154  (1.403080 s/it)
Iteration   530: accuracy_at_1 = 56.25%; accuracy_at_5 = 84.38%; loss = 1.436958  (1.403478 s/it)
Iteration   540: accuracy_at_1 = 37.50%; accuracy_at_5 = 70.31%; loss = 2.363324  (1.403780 s/it)
Iteration   550: accuracy_at_1 = 57.81%; accuracy_at_5 = 78.12%; loss = 1.730409  (1.403215 s/it)
Iteration   560: accuracy_at_1 = 54.69%; accuracy_at_5 = 85.94%; loss = 1.563924  (1.402867 s/it)
Iteration   570: accuracy_at_1 = 57.81%; accuracy_at_5 = 79.69%; loss = 1.740912  (1.405056 s/it)
Iteration   580: accuracy_at_1 = 56.25%; accuracy_at_5 = 82.81%; loss = 1.633795  (1.404076 s/it)
Iteration   590: accuracy_at_1 = 59.38%; accuracy_at_5 = 85.94%; loss = 1.640304  (1.402787 s/it)
Iteration   600: accuracy_at_1 = 40.62%; accuracy_at_5 = 78.12%; loss = 2.005326  (1.403866 s/it)
Iteration   610: accuracy_at_1 = 45.31%; accuracy_at_5 = 78.12%; loss = 1.924690  (1.403918 s/it)
Iteration   620: accuracy_at_1 = 57.81%; accuracy_at_5 = 82.81%; loss = 1.645256  (1.402806 s/it)
Iteration   630: accuracy_at_1 = 39.06%; accuracy_at_5 = 82.81%; loss = 2.073517  (1.403853 s/it)
Iteration   640: accuracy_at_1 = 45.31%; accuracy_at_5 = 87.50%; loss = 1.542767  (1.403725 s/it)
Iteration   650: accuracy_at_1 = 42.19%; accuracy_at_5 = 70.31%; loss = 2.202857  (1.403150 s/it)
Iteration   660: accuracy_at_1 = 46.88%; accuracy_at_5 = 82.81%; loss = 1.746011  (1.403418 s/it)
Iteration   670: accuracy_at_1 = 40.62%; accuracy_at_5 = 76.56%; loss = 2.069581  (1.404119 s/it)
Iteration   680: accuracy_at_1 = 46.88%; accuracy_at_5 = 76.56%; loss = 1.939524  (1.403145 s/it)
Iteration   690: accuracy_at_1 = 45.31%; accuracy_at_5 = 71.88%; loss = 2.115853  (1.403277 s/it)
Iteration   700: accuracy_at_1 = 56.25%; accuracy_at_5 = 81.25%; loss = 1.716207  (1.404023 s/it)
Iteration   710: accuracy_at_1 = 48.44%; accuracy_at_5 = 85.94%; loss = 1.757380  (1.403230 s/it)
Iteration   720: accuracy_at_1 = 53.12%; accuracy_at_5 = 84.38%; loss = 1.869238  (1.402977 s/it)
Iteration   730: accuracy_at_1 = 48.44%; accuracy_at_5 = 84.38%; loss = 1.737523  (1.403574 s/it)
Iteration   740: accuracy_at_1 = 39.06%; accuracy_at_5 = 81.25%; loss = 2.095174  (1.403855 s/it)
Iteration   750: accuracy_at_1 = 40.62%; accuracy_at_5 = 78.12%; loss = 2.120181  (1.403379 s/it)
Iteration   760: accuracy_at_1 = 56.25%; accuracy_at_5 = 82.81%; loss = 1.646976  (1.403973 s/it)
Iteration   770: accuracy_at_1 = 46.88%; accuracy_at_5 = 82.81%; loss = 1.718404  (1.403242 s/it)
Iteration   780: accuracy_at_1 = 51.56%; accuracy_at_5 = 84.38%; loss = 1.514650  (1.404370 s/it)
Iteration   790: accuracy_at_1 = 42.19%; accuracy_at_5 = 68.75%; loss = 2.293942  (1.403642 s/it)
Iteration   800: accuracy_at_1 = 51.56%; accuracy_at_5 = 79.69%; loss = 1.752611  (1.403834 s/it)
Iteration   810: accuracy_at_1 = 51.56%; accuracy_at_5 = 81.25%; loss = 1.687060  (1.403337 s/it)
Iteration   820: accuracy_at_1 = 62.50%; accuracy_at_5 = 79.69%; loss = 1.639869  (1.404137 s/it)
Iteration   830: accuracy_at_1 = 54.69%; accuracy_at_5 = 90.62%; loss = 1.488603  (1.404213 s/it)
Iteration   840: accuracy_at_1 = 50.00%; accuracy_at_5 = 84.38%; loss = 1.773742  (1.402993 s/it)
Iteration   850: accuracy_at_1 = 48.44%; accuracy_at_5 = 79.69%; loss = 1.756928  (1.403255 s/it)
Iteration   860: accuracy_at_1 = 62.50%; accuracy_at_5 = 81.25%; loss = 1.577284  (1.403953 s/it)
Iteration   870: accuracy_at_1 = 56.25%; accuracy_at_5 = 75.00%; loss = 1.973659  (1.402867 s/it)
Iteration   880: accuracy_at_1 = 51.56%; accuracy_at_5 = 81.25%; loss = 1.653163  (1.402799 s/it)
Iteration   890: accuracy_at_1 = 46.88%; accuracy_at_5 = 79.69%; loss = 1.724786  (1.403617 s/it)
Iteration   900: accuracy_at_1 = 57.81%; accuracy_at_5 = 89.06%; loss = 1.303509  (1.403431 s/it)
Iteration   910: accuracy_at_1 = 50.00%; accuracy_at_5 = 82.81%; loss = 1.823052  (1.403436 s/it)
Iteration   920: accuracy_at_1 = 53.12%; accuracy_at_5 = 89.06%; loss = 1.603616  (1.403495 s/it)
Iteration   930: accuracy_at_1 = 43.75%; accuracy_at_5 = 78.12%; loss = 1.888818  (1.404153 s/it)
Iteration   940: accuracy_at_1 = 51.56%; accuracy_at_5 = 82.81%; loss = 1.724233  (1.403477 s/it)
Iteration   950: accuracy_at_1 = 46.88%; accuracy_at_5 = 81.25%; loss = 1.937875  (1.404048 s/it)
Iteration   960: accuracy_at_1 = 45.31%; accuracy_at_5 = 79.69%; loss = 1.811077  (1.404052 s/it)
Iteration   970: accuracy_at_1 = 51.56%; accuracy_at_5 = 75.00%; loss = 1.967077  (1.403046 s/it)
Iteration   980: accuracy_at_1 = 54.69%; accuracy_at_5 = 79.69%; loss = 1.565995  (1.403530 s/it)
Iteration   990: accuracy_at_1 = 53.12%; accuracy_at_5 = 85.94%; loss = 1.708570  (1.404058 s/it)
Iteration  1000: accuracy_at_1 = 50.00%; accuracy_at_5 = 81.25%; loss = 1.703154  (1.402470 s/it)
Iteration  1010: accuracy_at_1 = 62.50%; accuracy_at_5 = 85.94%; loss = 1.445498  (1.403178 s/it)
Iteration  1020: accuracy_at_1 = 45.31%; accuracy_at_5 = 82.81%; loss = 1.757575  (1.404132 s/it)
Iteration  1030: accuracy_at_1 = 53.12%; accuracy_at_5 = 79.69%; loss = 1.575929  (1.403024 s/it)
Iteration  1040: accuracy_at_1 = 56.25%; accuracy_at_5 = 82.81%; loss = 1.746699  (1.402769 s/it)
Iteration  1050: accuracy_at_1 = 57.81%; accuracy_at_5 = 84.38%; loss = 1.583756  (1.404775 s/it)
Iteration  1060: accuracy_at_1 = 51.56%; accuracy_at_5 = 78.12%; loss = 1.988475  (1.403292 s/it)
Iteration  1070: accuracy_at_1 = 50.00%; accuracy_at_5 = 76.56%; loss = 1.785219  (1.402878 s/it)
Iteration  1080: accuracy_at_1 = 46.88%; accuracy_at_5 = 85.94%; loss = 1.753038  (1.403642 s/it)
Iteration  1090: accuracy_at_1 = 57.81%; accuracy_at_5 = 82.81%; loss = 1.739387  (1.403329 s/it)
Iteration  1100: accuracy_at_1 = 54.69%; accuracy_at_5 = 84.38%; loss = 1.553368  (1.403246 s/it)
Iteration  1110: accuracy_at_1 = 59.38%; accuracy_at_5 = 82.81%; loss = 1.577540  (1.404899 s/it)
Iteration  1120: accuracy_at_1 = 51.56%; accuracy_at_5 = 81.25%; loss = 1.651479  (1.404247 s/it)
Iteration  1130: accuracy_at_1 = 40.62%; accuracy_at_5 = 79.69%; loss = 1.805549  (1.403947 s/it)
Iteration  1140: accuracy_at_1 = 50.00%; accuracy_at_5 = 82.81%; loss = 1.671607  (1.404763 s/it)
Iteration  1150: accuracy_at_1 = 64.06%; accuracy_at_5 = 85.94%; loss = 1.459638  (1.404854 s/it)
Iteration  1160: accuracy_at_1 = 46.88%; accuracy_at_5 = 73.44%; loss = 2.133086  (1.403868 s/it)
Iteration  1170: accuracy_at_1 = 45.31%; accuracy_at_5 = 82.81%; loss = 1.695015  (1.403755 s/it)
Iteration  1180: accuracy_at_1 = 50.00%; accuracy_at_5 = 73.44%; loss = 1.921289  (1.406174 s/it)
Iteration  1190: accuracy_at_1 = 45.31%; accuracy_at_5 = 84.38%; loss = 1.681688  (1.404633 s/it)
Iteration  1200: accuracy_at_1 = 45.31%; accuracy_at_5 = 82.81%; loss = 1.880325  (1.403790 s/it)
Iteration  1210: accuracy_at_1 = 56.25%; accuracy_at_5 = 78.12%; loss = 1.736417  (1.404688 s/it)
Iteration  1220: accuracy_at_1 = 45.31%; accuracy_at_5 = 84.38%; loss = 1.640330  (1.404252 s/it)
Iteration  1230: accuracy_at_1 = 59.38%; accuracy_at_5 = 82.81%; loss = 1.589022  (1.403349 s/it)
Iteration  1240: accuracy_at_1 = 51.56%; accuracy_at_5 = 84.38%; loss = 1.559259  (1.404678 s/it)
Iteration  1250: accuracy_at_1 = 40.62%; accuracy_at_5 = 78.12%; loss = 1.925531  (1.405322 s/it)
Iteration  1260: accuracy_at_1 = 45.31%; accuracy_at_5 = 68.75%; loss = 1.977659  (1.404000 s/it)
Iteration  1270: accuracy_at_1 = 40.62%; accuracy_at_5 = 73.44%; loss = 2.284556  (1.404416 s/it)
Iteration  1280: accuracy_at_1 = 46.88%; accuracy_at_5 = 87.50%; loss = 1.611751  (1.404245 s/it)
Iteration  1290: accuracy_at_1 = 59.38%; accuracy_at_5 = 84.38%; loss = 1.596161  (1.406048 s/it)
Iteration  1300: accuracy_at_1 = 46.88%; accuracy_at_5 = 76.56%; loss = 1.855053  (1.404195 s/it)
Iteration  1310: accuracy_at_1 = 59.38%; accuracy_at_5 = 87.50%; loss = 1.442104  (1.405383 s/it)
Iteration  1320: accuracy_at_1 = 48.44%; accuracy_at_5 = 76.56%; loss = 1.850173  (1.403342 s/it)
Iteration  1330: accuracy_at_1 = 48.44%; accuracy_at_5 = 79.69%; loss = 2.026108  (1.403817 s/it)
Iteration  1340: accuracy_at_1 = 50.00%; accuracy_at_5 = 81.25%; loss = 1.863462  (1.406013 s/it)
Iteration  1350: accuracy_at_1 = 56.25%; accuracy_at_5 = 82.81%; loss = 1.609032  (1.405019 s/it)
Iteration  1360: accuracy_at_1 = 45.31%; accuracy_at_5 = 70.31%; loss = 2.127844  (1.404204 s/it)
Iteration  1370: accuracy_at_1 = 57.81%; accuracy_at_5 = 82.81%; loss = 1.689276  (1.403950 s/it)
Iteration  1380: accuracy_at_1 = 39.06%; accuracy_at_5 = 76.56%; loss = 2.215296  (1.403648 s/it)
Iteration  1390: accuracy_at_1 = 42.19%; accuracy_at_5 = 71.88%; loss = 2.094463  (1.403202 s/it)
Iteration  1400: accuracy_at_1 = 51.56%; accuracy_at_5 = 78.12%; loss = 1.840143  (1.403833 s/it)
Iteration  1410: accuracy_at_1 = 50.00%; accuracy_at_5 = 73.44%; loss = 2.071095  (1.404177 s/it)
Iteration  1420: accuracy_at_1 = 50.00%; accuracy_at_5 = 75.00%; loss = 1.934992  (1.403084 s/it)
Iteration  1430: accuracy_at_1 = 60.94%; accuracy_at_5 = 89.06%; loss = 1.473719  (1.404703 s/it)
Iteration  1440: accuracy_at_1 = 56.25%; accuracy_at_5 = 84.38%; loss = 1.370533  (1.406296 s/it)
Iteration  1450: accuracy_at_1 = 48.44%; accuracy_at_5 = 89.06%; loss = 1.645697  (1.403908 s/it)
Iteration  1460: accuracy_at_1 = 51.56%; accuracy_at_5 = 84.38%; loss = 1.714875  (1.403520 s/it)
Iteration  1470: accuracy_at_1 = 56.25%; accuracy_at_5 = 76.56%; loss = 1.754667  (1.404293 s/it)
Iteration  1480: accuracy_at_1 = 54.69%; accuracy_at_5 = 75.00%; loss = 1.723234  (1.403634 s/it)
Iteration  1490: accuracy_at_1 = 39.06%; accuracy_at_5 = 82.81%; loss = 1.839515  (1.403372 s/it)
Iteration  1500: accuracy_at_1 = 51.56%; accuracy_at_5 = 73.44%; loss = 1.752023  (1.404110 s/it)
Iteration  1510: accuracy_at_1 = 67.19%; accuracy_at_5 = 90.62%; loss = 1.231474  (1.403279 s/it)
Iteration  1520: accuracy_at_1 = 40.62%; accuracy_at_5 = 76.56%; loss = 2.029664  (1.403581 s/it)
Iteration  1530: accuracy_at_1 = 50.00%; accuracy_at_5 = 85.94%; loss = 1.573345  (1.405231 s/it)
Iteration  1540: accuracy_at_1 = 43.75%; accuracy_at_5 = 71.88%; loss = 1.961568  (1.403695 s/it)
Iteration  1550: accuracy_at_1 = 51.56%; accuracy_at_5 = 78.12%; loss = 1.974976  (1.403569 s/it)
Iteration  1560: accuracy_at_1 = 46.88%; accuracy_at_5 = 78.12%; loss = 1.823635  (1.403622 s/it)
Iteration  1570: accuracy_at_1 = 50.00%; accuracy_at_5 = 76.56%; loss = 1.963306  (1.405306 s/it)
Iteration  1580: accuracy_at_1 = 48.44%; accuracy_at_5 = 81.25%; loss = 1.746406  (1.402222 s/it)
Iteration  1590: accuracy_at_1 = 48.44%; accuracy_at_5 = 79.69%; loss = 1.950368  (1.403317 s/it)
Iteration  1600: accuracy_at_1 = 57.81%; accuracy_at_5 = 95.31%; loss = 1.301689  (1.402802 s/it)
Iteration  1610: accuracy_at_1 = 56.25%; accuracy_at_5 = 85.94%; loss = 1.707303  (1.403755 s/it)
Iteration  1620: accuracy_at_1 = 34.38%; accuracy_at_5 = 78.12%; loss = 1.980429  (1.404447 s/it)
Iteration  1630: accuracy_at_1 = 42.19%; accuracy_at_5 = 68.75%; loss = 2.294905  (1.403609 s/it)
Iteration  1640: accuracy_at_1 = 54.69%; accuracy_at_5 = 78.12%; loss = 1.785733  (1.402695 s/it)
Iteration  1650: accuracy_at_1 = 50.00%; accuracy_at_5 = 78.12%; loss = 1.931776  (1.402841 s/it)
Iteration  1660: accuracy_at_1 = 54.69%; accuracy_at_5 = 84.38%; loss = 1.591486  (1.404350 s/it)
Iteration  1670: accuracy_at_1 = 56.25%; accuracy_at_5 = 82.81%; loss = 1.422393  (1.403160 s/it)
Iteration  1680: accuracy_at_1 = 56.25%; accuracy_at_5 = 81.25%; loss = 1.549809  (1.402784 s/it)
Iteration  1690: accuracy_at_1 = 53.12%; accuracy_at_5 = 84.38%; loss = 1.965716  (1.403978 s/it)
Iteration  1700: accuracy_at_1 = 51.56%; accuracy_at_5 = 84.38%; loss = 1.730705  (1.403517 s/it)
Iteration  1710: accuracy_at_1 = 67.19%; accuracy_at_5 = 82.81%; loss = 1.438542  (1.403603 s/it)
Iteration  1720: accuracy_at_1 = 57.81%; accuracy_at_5 = 89.06%; loss = 1.514089  (1.404380 s/it)
Iteration  1730: accuracy_at_1 = 40.62%; accuracy_at_5 = 79.69%; loss = 1.881518  (1.403493 s/it)
Iteration  1740: accuracy_at_1 = 37.50%; accuracy_at_5 = 79.69%; loss = 2.062927  (1.402729 s/it)
Iteration  1750: accuracy_at_1 = 54.69%; accuracy_at_5 = 82.81%; loss = 1.652536  (1.403233 s/it)
Iteration  1760: accuracy_at_1 = 48.44%; accuracy_at_5 = 75.00%; loss = 2.150406  (1.403228 s/it)
Iteration  1770: accuracy_at_1 = 43.75%; accuracy_at_5 = 84.38%; loss = 1.693935  (1.404146 s/it)
Iteration  1780: accuracy_at_1 = 54.69%; accuracy_at_5 = 73.44%; loss = 1.812632  (1.403675 s/it)
Iteration  1790: accuracy_at_1 = 51.56%; accuracy_at_5 = 84.38%; loss = 1.692147  (1.403900 s/it)
Iteration  1800: accuracy_at_1 = 46.88%; accuracy_at_5 = 85.94%; loss = 1.845721  (1.403095 s/it)
Iteration  1810: accuracy_at_1 = 51.56%; accuracy_at_5 = 79.69%; loss = 1.777408  (1.403485 s/it)
Iteration  1820: accuracy_at_1 = 48.44%; accuracy_at_5 = 76.56%; loss = 1.898579  (1.403899 s/it)
Iteration  1830: accuracy_at_1 = 46.88%; accuracy_at_5 = 76.56%; loss = 1.790094  (1.403197 s/it)
Iteration  1840: accuracy_at_1 = 54.69%; accuracy_at_5 = 71.88%; loss = 1.863071  (1.402990 s/it)
Iteration  1850: accuracy_at_1 = 54.69%; accuracy_at_5 = 82.81%; loss = 1.796452  (1.403233 s/it)
Iteration  1860: accuracy_at_1 = 50.00%; accuracy_at_5 = 78.12%; loss = 1.837159  (1.403710 s/it)
Iteration  1870: accuracy_at_1 = 42.19%; accuracy_at_5 = 75.00%; loss = 2.115349  (1.403330 s/it)
Iteration  1880: accuracy_at_1 = 48.44%; accuracy_at_5 = 79.69%; loss = 1.868890  (1.405038 s/it)
Iteration  1890: accuracy_at_1 = 51.56%; accuracy_at_5 = 82.81%; loss = 1.843601  (1.403669 s/it)
Iteration  1900: accuracy_at_1 = 46.88%; accuracy_at_5 = 79.69%; loss = 1.795731  (1.403186 s/it)
Iteration  1910: accuracy_at_1 = 43.75%; accuracy_at_5 = 78.12%; loss = 1.948632  (1.403763 s/it)
Iteration  1920: accuracy_at_1 = 54.69%; accuracy_at_5 = 92.19%; loss = 1.470400  (1.404140 s/it)
Iteration  1930: accuracy_at_1 = 65.62%; accuracy_at_5 = 84.38%; loss = 1.529485  (1.403242 s/it)
Iteration  1940: accuracy_at_1 = 60.94%; accuracy_at_5 = 79.69%; loss = 1.596013  (1.403929 s/it)
Iteration  1950: accuracy_at_1 = 53.12%; accuracy_at_5 = 84.38%; loss = 1.537674  (1.404208 s/it)
Iteration  1960: accuracy_at_1 = 57.81%; accuracy_at_5 = 82.81%; loss = 1.534766  (1.404075 s/it)
Iteration  1970: accuracy_at_1 = 53.12%; accuracy_at_5 = 73.44%; loss = 1.811737  (1.403126 s/it)
Iteration  1980: accuracy_at_1 = 43.75%; accuracy_at_5 = 68.75%; loss = 2.045469  (1.403786 s/it)
Iteration  1990: accuracy_at_1 = 43.75%; accuracy_at_5 = 76.56%; loss = 1.897540  (1.403907 s/it)
Iteration  2000: accuracy_at_1 = 60.94%; accuracy_at_5 = 81.25%; loss = 1.529062  (1.403005 s/it)
Iteration  2010: accuracy_at_1 = 57.81%; accuracy_at_5 = 85.94%; loss = 1.390107  (1.405441 s/it)
Iteration  2020: accuracy_at_1 = 65.62%; accuracy_at_5 = 81.25%; loss = 1.596890  (1.403724 s/it)
Iteration  2030: accuracy_at_1 = 48.44%; accuracy_at_5 = 76.56%; loss = 1.915033  (1.403329 s/it)
Iteration  2040: accuracy_at_1 = 54.69%; accuracy_at_5 = 73.44%; loss = 1.941788  (1.403700 s/it)
Iteration  2050: accuracy_at_1 = 45.31%; accuracy_at_5 = 81.25%; loss = 2.040387  (1.404060 s/it)
Iteration  2060: accuracy_at_1 = 40.62%; accuracy_at_5 = 75.00%; loss = 2.220860  (1.403670 s/it)
Iteration  2070: accuracy_at_1 = 50.00%; accuracy_at_5 = 79.69%; loss = 1.868055  (1.403785 s/it)
Iteration  2080: accuracy_at_1 = 59.38%; accuracy_at_5 = 85.94%; loss = 1.624885  (1.403810 s/it)
Iteration  2090: accuracy_at_1 = 46.88%; accuracy_at_5 = 73.44%; loss = 1.916598  (1.403262 s/it)
Iteration  2100: accuracy_at_1 = 46.88%; accuracy_at_5 = 79.69%; loss = 1.921205  (1.403373 s/it)
Iteration  2110: accuracy_at_1 = 50.00%; accuracy_at_5 = 76.56%; loss = 1.943747  (1.404002 s/it)
Iteration  2120: accuracy_at_1 = 42.19%; accuracy_at_5 = 76.56%; loss = 2.157021  (1.403353 s/it)
Iteration  2130: accuracy_at_1 = 62.50%; accuracy_at_5 = 90.62%; loss = 1.289116  (1.403276 s/it)
Iteration  2140: accuracy_at_1 = 54.69%; accuracy_at_5 = 84.38%; loss = 1.711926  (1.403839 s/it)
Iteration  2150: accuracy_at_1 = 50.00%; accuracy_at_5 = 78.12%; loss = 1.988703  (1.403415 s/it)
Iteration  2160: accuracy_at_1 = 53.12%; accuracy_at_5 = 79.69%; loss = 1.770639  (1.403431 s/it)
Iteration  2170: accuracy_at_1 = 56.25%; accuracy_at_5 = 82.81%; loss = 1.571904  (1.404270 s/it)
Iteration  2180: accuracy_at_1 = 51.56%; accuracy_at_5 = 82.81%; loss = 1.747968  (1.403461 s/it)
Iteration  2190: accuracy_at_1 = 42.19%; accuracy_at_5 = 73.44%; loss = 1.937852  (1.403564 s/it)
Iteration  2200: accuracy_at_1 = 56.25%; accuracy_at_5 = 79.69%; loss = 1.753488  (1.404216 s/it)
Iteration  2210: accuracy_at_1 = 54.69%; accuracy_at_5 = 87.50%; loss = 1.533348  (1.403743 s/it)
Iteration  2220: accuracy_at_1 = 53.12%; accuracy_at_5 = 73.44%; loss = 1.784419  (1.403070 s/it)
Iteration  2230: accuracy_at_1 = 45.31%; accuracy_at_5 = 82.81%; loss = 1.999231  (1.404344 s/it)
Iteration  2240: accuracy_at_1 = 53.12%; accuracy_at_5 = 85.94%; loss = 1.651527  (1.403420 s/it)
Iteration  2250: accuracy_at_1 = 51.56%; accuracy_at_5 = 81.25%; loss = 1.633868  (1.404286 s/it)
Iteration  2260: accuracy_at_1 = 57.81%; accuracy_at_5 = 79.69%; loss = 1.794663  (1.403569 s/it)
Iteration  2270: accuracy_at_1 = 37.50%; accuracy_at_5 = 70.31%; loss = 2.178038  (1.403610 s/it)
Iteration  2280: accuracy_at_1 = 62.50%; accuracy_at_5 = 82.81%; loss = 1.441569  (1.403750 s/it)
Iteration  2290: accuracy_at_1 = 48.44%; accuracy_at_5 = 82.81%; loss = 1.875059  (1.403118 s/it)
Iteration  2300: accuracy_at_1 = 46.88%; accuracy_at_5 = 76.56%; loss = 1.867177  (1.403692 s/it)
Iteration  2310: accuracy_at_1 = 65.62%; accuracy_at_5 = 84.38%; loss = 1.460257  (1.402728 s/it)
Iteration  2320: accuracy_at_1 = 62.50%; accuracy_at_5 = 82.81%; loss = 1.544277  (1.403573 s/it)
