libdc1394 error: Failed to initialize libdc1394
Training net...

Iteration     0: accuracy_at_1 =  0.00%; accuracy_at_5 =  6.25%; loss = 4.605170 
Iteration   190: accuracy_at_1 = 10.94%; accuracy_at_5 = 21.88%; loss = 4.086310  (1.414818 s/it)
Iteration   200: accuracy_at_1 =  1.56%; accuracy_at_5 =  9.38%; loss = 4.392070  (1.413452 s/it)
Iteration   210: accuracy_at_1 =  4.69%; accuracy_at_5 = 21.88%; loss = 4.319284  (1.414424 s/it)
Iteration   220: accuracy_at_1 =  4.69%; accuracy_at_5 =  9.38%; loss = 4.427136  (1.415059 s/it)
Iteration   230: accuracy_at_1 =  1.56%; accuracy_at_5 = 15.62%; loss = 4.278385  (1.414666 s/it)
Iteration   240: accuracy_at_1 =  3.12%; accuracy_at_5 = 10.94%; loss = 4.448239  (1.413104 s/it)
Iteration   250: accuracy_at_1 =  0.00%; accuracy_at_5 =  6.25%; loss = 4.559893  (1.414959 s/it)
Iteration   260: accuracy_at_1 =  1.56%; accuracy_at_5 = 14.06%; loss = 4.383150  (1.414336 s/it)
Iteration   270: accuracy_at_1 =  3.12%; accuracy_at_5 = 17.19%; loss = 4.241599  (1.414315 s/it)
Iteration   280: accuracy_at_1 =  3.12%; accuracy_at_5 = 18.75%; loss = 4.331693  (1.414739 s/it)
Iteration   290: accuracy_at_1 =  1.56%; accuracy_at_5 = 12.50%; loss = 4.299109  (1.413699 s/it)
Iteration   300: accuracy_at_1 =  3.12%; accuracy_at_5 = 12.50%; loss = 4.402399  (1.413405 s/it)
Iteration   310: accuracy_at_1 =  6.25%; accuracy_at_5 = 18.75%; loss = 4.212734  (1.415238 s/it)
Iteration   320: accuracy_at_1 =  7.81%; accuracy_at_5 = 17.19%; loss = 4.069168  (1.415028 s/it)
Iteration   330: accuracy_at_1 =  4.69%; accuracy_at_5 = 18.75%; loss = 4.211064  (1.413365 s/it)
Iteration   340: accuracy_at_1 =  9.38%; accuracy_at_5 = 20.31%; loss = 4.185239  (1.414302 s/it)
Iteration   350: accuracy_at_1 =  3.12%; accuracy_at_5 = 17.19%; loss = 4.178301  (1.415160 s/it)
Iteration   360: accuracy_at_1 =  4.69%; accuracy_at_5 = 14.06%; loss = 4.458358  (1.414579 s/it)
Iteration   370: accuracy_at_1 =  4.69%; accuracy_at_5 = 17.19%; loss = 4.087819  (1.414410 s/it)
Iteration   380: accuracy_at_1 = 10.94%; accuracy_at_5 = 29.69%; loss = 4.124340  (1.414615 s/it)
Iteration   390: accuracy_at_1 =  9.38%; accuracy_at_5 = 21.88%; loss = 4.086896  (1.414370 s/it)
Iteration   400: accuracy_at_1 =  9.38%; accuracy_at_5 = 25.00%; loss = 4.040580  (1.405698 s/it)
Iteration   410: accuracy_at_1 =  4.69%; accuracy_at_5 = 15.62%; loss = 4.089319  (1.406249 s/it)
Iteration   420: accuracy_at_1 =  9.38%; accuracy_at_5 = 23.44%; loss = 4.097508  (1.405129 s/it)
Iteration   430: accuracy_at_1 =  4.69%; accuracy_at_5 = 25.00%; loss = 4.045374  (1.404441 s/it)
Iteration   440: accuracy_at_1 = 10.94%; accuracy_at_5 = 23.44%; loss = 4.013852  (1.405624 s/it)
Iteration   450: accuracy_at_1 =  7.81%; accuracy_at_5 = 18.75%; loss = 4.210074  (1.405274 s/it)
Iteration   460: accuracy_at_1 =  7.81%; accuracy_at_5 = 25.00%; loss = 4.059944  (1.404215 s/it)
Iteration   470: accuracy_at_1 =  7.81%; accuracy_at_5 = 21.88%; loss = 4.015212  (1.407195 s/it)
Iteration   480: accuracy_at_1 = 15.62%; accuracy_at_5 = 34.38%; loss = 3.924311  (1.408581 s/it)
Iteration   490: accuracy_at_1 =  4.69%; accuracy_at_5 = 20.31%; loss = 4.208836  (1.406937 s/it)
Iteration   500: accuracy_at_1 =  7.81%; accuracy_at_5 = 20.31%; loss = 4.028049  (1.407763 s/it)
Iteration   510: accuracy_at_1 =  7.81%; accuracy_at_5 = 23.44%; loss = 4.015471  (1.407598 s/it)
Iteration   520: accuracy_at_1 = 10.94%; accuracy_at_5 = 29.69%; loss = 4.082602  (1.408198 s/it)
Iteration   530: accuracy_at_1 =  7.81%; accuracy_at_5 = 21.88%; loss = 4.037366  (1.407804 s/it)
Iteration   540: accuracy_at_1 =  3.12%; accuracy_at_5 = 15.62%; loss = 4.249705  (1.408459 s/it)
Iteration   550: accuracy_at_1 =  4.69%; accuracy_at_5 = 28.12%; loss = 3.917622  (1.407914 s/it)
Iteration   560: accuracy_at_1 =  4.69%; accuracy_at_5 = 25.00%; loss = 3.894619  (1.407504 s/it)
Iteration   570: accuracy_at_1 =  7.81%; accuracy_at_5 = 23.44%; loss = 4.131050  (1.408636 s/it)
Iteration   580: accuracy_at_1 =  4.69%; accuracy_at_5 = 18.75%; loss = 4.187989  (1.408368 s/it)
Iteration   590: accuracy_at_1 = 10.94%; accuracy_at_5 = 31.25%; loss = 3.974625  (1.407566 s/it)
Iteration   600: accuracy_at_1 = 10.94%; accuracy_at_5 = 23.44%; loss = 3.937163  (1.408199 s/it)
Iteration   610: accuracy_at_1 =  9.38%; accuracy_at_5 = 28.12%; loss = 3.993802  (1.408425 s/it)
Iteration   620: accuracy_at_1 =  7.81%; accuracy_at_5 = 25.00%; loss = 3.990094  (1.407827 s/it)
Iteration   630: accuracy_at_1 =  6.25%; accuracy_at_5 = 29.69%; loss = 3.943269  (1.408406 s/it)
Iteration   640: accuracy_at_1 =  9.38%; accuracy_at_5 = 31.25%; loss = 3.785841  (1.408285 s/it)
Iteration   650: accuracy_at_1 = 10.94%; accuracy_at_5 = 25.00%; loss = 4.029520  (1.407754 s/it)
Iteration   660: accuracy_at_1 =  9.38%; accuracy_at_5 = 29.69%; loss = 3.900638  (1.408240 s/it)
Iteration   670: accuracy_at_1 =  6.25%; accuracy_at_5 = 28.12%; loss = 3.998802  (1.408791 s/it)
Iteration   680: accuracy_at_1 = 15.62%; accuracy_at_5 = 34.38%; loss = 3.757213  (1.407412 s/it)
Iteration   690: accuracy_at_1 =  9.38%; accuracy_at_5 = 29.69%; loss = 3.974266  (1.407547 s/it)
Iteration   700: accuracy_at_1 =  4.69%; accuracy_at_5 = 21.88%; loss = 3.935460  (1.408556 s/it)
Iteration   710: accuracy_at_1 =  9.38%; accuracy_at_5 = 25.00%; loss = 3.861894  (1.408358 s/it)
Iteration   720: accuracy_at_1 =  9.38%; accuracy_at_5 = 25.00%; loss = 4.038863  (1.407812 s/it)
Iteration   730: accuracy_at_1 =  7.81%; accuracy_at_5 = 26.56%; loss = 3.976500  (1.409051 s/it)
Iteration   740: accuracy_at_1 =  7.81%; accuracy_at_5 = 18.75%; loss = 4.094645  (1.408560 s/it)
Iteration   750: accuracy_at_1 =  7.81%; accuracy_at_5 = 25.00%; loss = 3.940823  (1.408010 s/it)
Iteration   760: accuracy_at_1 =  7.81%; accuracy_at_5 = 29.69%; loss = 3.822886  (1.408586 s/it)
Iteration   770: accuracy_at_1 = 12.50%; accuracy_at_5 = 28.12%; loss = 3.995726  (1.408383 s/it)
Iteration   780: accuracy_at_1 = 10.94%; accuracy_at_5 = 26.56%; loss = 3.911855  (1.409893 s/it)
Iteration   790: accuracy_at_1 = 10.94%; accuracy_at_5 = 29.69%; loss = 3.997746  (1.409000 s/it)
Iteration   800: accuracy_at_1 = 14.06%; accuracy_at_5 = 32.81%; loss = 3.686000  (1.409053 s/it)
Iteration   810: accuracy_at_1 =  7.81%; accuracy_at_5 = 28.12%; loss = 3.890606  (1.407602 s/it)
Iteration   820: accuracy_at_1 =  4.69%; accuracy_at_5 = 23.44%; loss = 4.073747  (1.408562 s/it)
Iteration   830: accuracy_at_1 = 17.19%; accuracy_at_5 = 42.19%; loss = 3.522079  (1.409094 s/it)
Iteration   840: accuracy_at_1 =  6.25%; accuracy_at_5 = 28.12%; loss = 3.910081  (1.408008 s/it)
Iteration   850: accuracy_at_1 = 10.94%; accuracy_at_5 = 32.81%; loss = 3.867379  (1.408396 s/it)
Iteration   860: accuracy_at_1 = 20.31%; accuracy_at_5 = 39.06%; loss = 3.439685  (1.408242 s/it)
Iteration   870: accuracy_at_1 =  6.25%; accuracy_at_5 = 26.56%; loss = 3.796742  (1.408437 s/it)
Iteration   880: accuracy_at_1 = 12.50%; accuracy_at_5 = 34.38%; loss = 3.635138  (1.407832 s/it)
Iteration   890: accuracy_at_1 =  9.38%; accuracy_at_5 = 26.56%; loss = 3.762010  (1.408289 s/it)
Iteration   900: accuracy_at_1 = 14.06%; accuracy_at_5 = 40.62%; loss = 3.587333  (1.407663 s/it)
Iteration   910: accuracy_at_1 = 10.94%; accuracy_at_5 = 21.88%; loss = 4.105030  (1.407924 s/it)
Iteration   920: accuracy_at_1 = 17.19%; accuracy_at_5 = 37.50%; loss = 3.740724  (1.408351 s/it)
Iteration   930: accuracy_at_1 =  9.38%; accuracy_at_5 = 28.12%; loss = 3.955030  (1.408487 s/it)
Iteration   940: accuracy_at_1 = 14.06%; accuracy_at_5 = 32.81%; loss = 3.871424  (1.407853 s/it)
Iteration   950: accuracy_at_1 =  9.38%; accuracy_at_5 = 29.69%; loss = 3.893650  (1.408532 s/it)
Iteration   960: accuracy_at_1 = 14.06%; accuracy_at_5 = 39.06%; loss = 3.632537  (1.409015 s/it)
Iteration   970: accuracy_at_1 =  6.25%; accuracy_at_5 = 23.44%; loss = 4.209861  (1.407625 s/it)
Iteration   980: accuracy_at_1 =  6.25%; accuracy_at_5 = 28.12%; loss = 3.835005  (1.409351 s/it)
Iteration   990: accuracy_at_1 = 14.06%; accuracy_at_5 = 31.25%; loss = 3.684144  (1.409523 s/it)
Iteration  1000: accuracy_at_1 = 12.50%; accuracy_at_5 = 37.50%; loss = 3.797088  (1.408484 s/it)
Iteration  1010: accuracy_at_1 = 21.88%; accuracy_at_5 = 35.94%; loss = 3.520711  (1.408557 s/it)
Iteration  1020: accuracy_at_1 = 10.94%; accuracy_at_5 = 28.12%; loss = 3.908008  (1.409100 s/it)
Iteration  1030: accuracy_at_1 =  6.25%; accuracy_at_5 = 32.81%; loss = 3.799989  (1.408124 s/it)
Iteration  1040: accuracy_at_1 = 21.88%; accuracy_at_5 = 42.19%; loss = 3.585276  (1.408152 s/it)
Iteration  1050: accuracy_at_1 = 15.62%; accuracy_at_5 = 31.25%; loss = 3.731879  (1.409162 s/it)
Iteration  1060: accuracy_at_1 =  9.38%; accuracy_at_5 = 29.69%; loss = 3.907219  (1.408850 s/it)
Iteration  1070: accuracy_at_1 =  7.81%; accuracy_at_5 = 32.81%; loss = 3.907201  (1.407805 s/it)
Iteration  1080: accuracy_at_1 = 10.94%; accuracy_at_5 = 32.81%; loss = 3.994978  (1.408491 s/it)
Iteration  1090: accuracy_at_1 = 14.06%; accuracy_at_5 = 39.06%; loss = 3.605303  (1.407990 s/it)
Iteration  1100: accuracy_at_1 =  9.38%; accuracy_at_5 = 26.56%; loss = 3.910121  (1.406470 s/it)
Iteration  1110: accuracy_at_1 =  9.38%; accuracy_at_5 = 34.38%; loss = 3.643745  (1.407263 s/it)
Iteration  1120: accuracy_at_1 = 14.06%; accuracy_at_5 = 29.69%; loss = 3.929628  (1.408091 s/it)
Iteration  1130: accuracy_at_1 =  7.81%; accuracy_at_5 = 32.81%; loss = 3.888993  (1.406804 s/it)
Iteration  1140: accuracy_at_1 =  9.38%; accuracy_at_5 = 40.62%; loss = 3.659823  (1.406882 s/it)
Iteration  1150: accuracy_at_1 = 15.62%; accuracy_at_5 = 32.81%; loss = 3.764090  (1.406951 s/it)
Iteration  1160: accuracy_at_1 =  7.81%; accuracy_at_5 = 26.56%; loss = 3.967073  (1.406329 s/it)
Iteration  1170: accuracy_at_1 = 15.62%; accuracy_at_5 = 42.19%; loss = 3.563898  (1.406513 s/it)
Iteration  1180: accuracy_at_1 = 14.06%; accuracy_at_5 = 34.38%; loss = 3.644856  (1.408980 s/it)
Iteration  1190: accuracy_at_1 = 14.06%; accuracy_at_5 = 48.44%; loss = 3.574481  (1.406997 s/it)
Iteration  1200: accuracy_at_1 =  4.69%; accuracy_at_5 = 28.12%; loss = 3.819592  (1.406441 s/it)
Iteration  1210: accuracy_at_1 = 14.06%; accuracy_at_5 = 37.50%; loss = 3.810525  (1.407632 s/it)
Iteration  1220: accuracy_at_1 =  7.81%; accuracy_at_5 = 43.75%; loss = 3.559968  (1.406695 s/it)
Iteration  1230: accuracy_at_1 = 14.06%; accuracy_at_5 = 40.62%; loss = 3.712120  (1.406564 s/it)
Iteration  1240: accuracy_at_1 = 10.94%; accuracy_at_5 = 32.81%; loss = 3.719642  (1.407287 s/it)
Iteration  1250: accuracy_at_1 = 10.94%; accuracy_at_5 = 40.62%; loss = 3.713245  (1.407335 s/it)
Iteration  1260: accuracy_at_1 = 12.50%; accuracy_at_5 = 40.62%; loss = 3.862615  (1.406839 s/it)
Iteration  1270: accuracy_at_1 =  4.69%; accuracy_at_5 = 25.00%; loss = 3.718572  (1.407362 s/it)
Iteration  1280: accuracy_at_1 = 15.62%; accuracy_at_5 = 40.62%; loss = 3.550575  (1.407527 s/it)
Iteration  1290: accuracy_at_1 =  7.81%; accuracy_at_5 = 37.50%; loss = 3.808788  (1.406270 s/it)
Iteration  1300: accuracy_at_1 = 10.94%; accuracy_at_5 = 35.94%; loss = 3.761317  (1.406914 s/it)
Iteration  1310: accuracy_at_1 = 15.62%; accuracy_at_5 = 40.62%; loss = 3.588901  (1.407812 s/it)
Iteration  1320: accuracy_at_1 = 14.06%; accuracy_at_5 = 48.44%; loss = 3.416536  (1.406335 s/it)
Iteration  1330: accuracy_at_1 = 14.06%; accuracy_at_5 = 34.38%; loss = 3.776893  (1.406430 s/it)
Iteration  1340: accuracy_at_1 = 15.62%; accuracy_at_5 = 35.94%; loss = 3.591402  (1.407453 s/it)
Iteration  1350: accuracy_at_1 = 12.50%; accuracy_at_5 = 37.50%; loss = 3.676153  (1.406763 s/it)
Iteration  1360: accuracy_at_1 =  7.81%; accuracy_at_5 = 35.94%; loss = 3.871600  (1.406236 s/it)
Iteration  1370: accuracy_at_1 = 17.19%; accuracy_at_5 = 35.94%; loss = 3.497170  (1.406200 s/it)
Iteration  1380: accuracy_at_1 = 12.50%; accuracy_at_5 = 34.38%; loss = 3.656923  (1.405960 s/it)
Iteration  1390: accuracy_at_1 =  4.69%; accuracy_at_5 = 31.25%; loss = 3.833771  (1.404251 s/it)
Iteration  1400: accuracy_at_1 = 14.06%; accuracy_at_5 = 31.25%; loss = 3.791493  (1.405806 s/it)
Iteration  1410: accuracy_at_1 = 18.75%; accuracy_at_5 = 45.31%; loss = 3.516130  (1.404901 s/it)
Iteration  1420: accuracy_at_1 = 10.94%; accuracy_at_5 = 45.31%; loss = 3.509129  (1.404169 s/it)
Iteration  1430: accuracy_at_1 = 18.75%; accuracy_at_5 = 40.62%; loss = 3.494855  (1.405440 s/it)
Iteration  1440: accuracy_at_1 = 14.06%; accuracy_at_5 = 43.75%; loss = 3.549120  (1.405380 s/it)
Iteration  1450: accuracy_at_1 = 14.06%; accuracy_at_5 = 37.50%; loss = 3.550869  (1.404572 s/it)
Iteration  1460: accuracy_at_1 = 15.62%; accuracy_at_5 = 37.50%; loss = 3.657456  (1.405076 s/it)
Iteration  1470: accuracy_at_1 = 15.62%; accuracy_at_5 = 43.75%; loss = 3.605853  (1.406465 s/it)
Iteration  1480: accuracy_at_1 = 10.94%; accuracy_at_5 = 45.31%; loss = 3.525799  (1.406229 s/it)
Iteration  1490: accuracy_at_1 = 10.94%; accuracy_at_5 = 45.31%; loss = 3.379724  (1.405501 s/it)
Iteration  1500: accuracy_at_1 =  9.38%; accuracy_at_5 = 37.50%; loss = 3.520235  (1.404108 s/it)
Iteration  1510: accuracy_at_1 = 12.50%; accuracy_at_5 = 35.94%; loss = 3.440615  (1.404553 s/it)
Iteration  1520: accuracy_at_1 =  9.38%; accuracy_at_5 = 23.44%; loss = 3.791696  (1.404924 s/it)
Iteration  1530: accuracy_at_1 = 25.00%; accuracy_at_5 = 51.56%; loss = 3.249023  (1.405392 s/it)
Iteration  1540: accuracy_at_1 =  9.38%; accuracy_at_5 = 29.69%; loss = 3.817361  (1.405233 s/it)
Iteration  1550: accuracy_at_1 = 12.50%; accuracy_at_5 = 29.69%; loss = 3.702474  (1.404884 s/it)
Iteration  1560: accuracy_at_1 = 15.62%; accuracy_at_5 = 39.06%; loss = 3.578752  (1.405877 s/it)
Iteration  1570: accuracy_at_1 = 14.06%; accuracy_at_5 = 31.25%; loss = 3.773182  (1.406081 s/it)
Iteration  1580: accuracy_at_1 = 15.62%; accuracy_at_5 = 46.88%; loss = 3.455879  (1.404917 s/it)
Iteration  1590: accuracy_at_1 =  9.38%; accuracy_at_5 = 37.50%; loss = 3.744751  (1.406386 s/it)
Iteration  1600: accuracy_at_1 = 20.31%; accuracy_at_5 = 46.88%; loss = 3.320481  (1.406922 s/it)
Iteration  1610: accuracy_at_1 = 14.06%; accuracy_at_5 = 28.12%; loss = 3.714848  (1.404817 s/it)
Iteration  1620: accuracy_at_1 = 15.62%; accuracy_at_5 = 35.94%; loss = 3.655912  (1.405183 s/it)
Iteration  1630: accuracy_at_1 = 12.50%; accuracy_at_5 = 35.94%; loss = 3.758495  (1.405359 s/it)
Iteration  1640: accuracy_at_1 = 20.31%; accuracy_at_5 = 40.62%; loss = 3.545146  (1.404871 s/it)
Iteration  1650: accuracy_at_1 = 23.44%; accuracy_at_5 = 39.06%; loss = 3.519326  (1.404509 s/it)
Iteration  1660: accuracy_at_1 = 17.19%; accuracy_at_5 = 48.44%; loss = 3.247585  (1.405679 s/it)
Iteration  1670: accuracy_at_1 = 17.19%; accuracy_at_5 = 37.50%; loss = 3.547529  (1.405130 s/it)
Iteration  1680: accuracy_at_1 = 15.62%; accuracy_at_5 = 39.06%; loss = 3.522726  (1.405013 s/it)
Iteration  1690: accuracy_at_1 =  7.81%; accuracy_at_5 = 34.38%; loss = 3.748342  (1.405554 s/it)
Iteration  1700: accuracy_at_1 = 20.31%; accuracy_at_5 = 45.31%; loss = 3.461113  (1.404759 s/it)
Iteration  1710: accuracy_at_1 = 17.19%; accuracy_at_5 = 48.44%; loss = 3.442788  (1.404386 s/it)
Iteration  1720: accuracy_at_1 = 17.19%; accuracy_at_5 = 45.31%; loss = 3.386542  (1.404948 s/it)
Iteration  1730: accuracy_at_1 = 20.31%; accuracy_at_5 = 43.75%; loss = 3.629229  (1.404935 s/it)
Iteration  1740: accuracy_at_1 = 10.94%; accuracy_at_5 = 34.38%; loss = 3.669728  (1.404181 s/it)
Iteration  1750: accuracy_at_1 = 20.31%; accuracy_at_5 = 34.38%; loss = 3.684581  (1.404794 s/it)
Iteration  1760: accuracy_at_1 = 17.19%; accuracy_at_5 = 45.31%; loss = 3.474153  (1.405209 s/it)
Iteration  1770: accuracy_at_1 = 18.75%; accuracy_at_5 = 40.62%; loss = 3.095529  (1.404050 s/it)
Iteration  1780: accuracy_at_1 = 14.06%; accuracy_at_5 = 37.50%; loss = 3.744860  (1.404830 s/it)
Iteration  1790: accuracy_at_1 = 17.19%; accuracy_at_5 = 45.31%; loss = 3.453369  (1.404957 s/it)
Iteration  1800: accuracy_at_1 = 21.88%; accuracy_at_5 = 51.56%; loss = 3.363631  (1.404164 s/it)
Iteration  1810: accuracy_at_1 = 14.06%; accuracy_at_5 = 35.94%; loss = 3.670751  (1.404544 s/it)
Iteration  1820: accuracy_at_1 =  9.38%; accuracy_at_5 = 39.06%; loss = 3.774696  (1.405626 s/it)
Iteration  1830: accuracy_at_1 = 14.06%; accuracy_at_5 = 35.94%; loss = 3.661643  (1.404288 s/it)
Iteration  1840: accuracy_at_1 = 17.19%; accuracy_at_5 = 50.00%; loss = 3.329803  (1.405260 s/it)
Iteration  1850: accuracy_at_1 = 12.50%; accuracy_at_5 = 42.19%; loss = 3.634772  (1.405427 s/it)
Iteration  1860: accuracy_at_1 = 21.88%; accuracy_at_5 = 54.69%; loss = 3.172214  (1.405231 s/it)
Iteration  1870: accuracy_at_1 =  4.69%; accuracy_at_5 = 29.69%; loss = 3.932536  (1.404982 s/it)
Iteration  1880: accuracy_at_1 = 20.31%; accuracy_at_5 = 50.00%; loss = 3.357744  (1.405515 s/it)
Iteration  1890: accuracy_at_1 = 10.94%; accuracy_at_5 = 32.81%; loss = 3.615756  (1.405321 s/it)
Iteration  1900: accuracy_at_1 = 23.44%; accuracy_at_5 = 54.69%; loss = 3.270290  (1.404554 s/it)
Iteration  1910: accuracy_at_1 = 17.19%; accuracy_at_5 = 40.62%; loss = 3.561157  (1.405252 s/it)
Iteration  1920: accuracy_at_1 =  7.81%; accuracy_at_5 = 37.50%; loss = 3.501363  (1.405712 s/it)
Iteration  1930: accuracy_at_1 = 21.88%; accuracy_at_5 = 50.00%; loss = 3.284281  (1.404451 s/it)
Iteration  1940: accuracy_at_1 = 18.75%; accuracy_at_5 = 46.88%; loss = 3.368459  (1.404051 s/it)
Iteration  1950: accuracy_at_1 = 17.19%; accuracy_at_5 = 46.88%; loss = 3.410944  (1.404850 s/it)
Iteration  1960: accuracy_at_1 = 18.75%; accuracy_at_5 = 46.88%; loss = 3.085287  (1.405264 s/it)
Iteration  1970: accuracy_at_1 = 18.75%; accuracy_at_5 = 42.19%; loss = 3.351731  (1.403885 s/it)
Iteration  1980: accuracy_at_1 = 14.06%; accuracy_at_5 = 40.62%; loss = 3.505406  (1.403700 s/it)
Iteration  1990: accuracy_at_1 = 10.94%; accuracy_at_5 = 42.19%; loss = 3.499467  (1.403344 s/it)
Iteration  2000: accuracy_at_1 = 12.50%; accuracy_at_5 = 34.38%; loss = 3.684841  (1.403214 s/it)
Iteration  2010: accuracy_at_1 = 20.31%; accuracy_at_5 = 45.31%; loss = 3.106544  (1.404689 s/it)
Iteration  2020: accuracy_at_1 = 17.19%; accuracy_at_5 = 42.19%; loss = 3.503893  (1.404324 s/it)
Iteration  2030: accuracy_at_1 =  7.81%; accuracy_at_5 = 37.50%; loss = 3.693309  (1.404985 s/it)
Iteration  2040: accuracy_at_1 = 12.50%; accuracy_at_5 = 46.88%; loss = 3.449692  (1.405622 s/it)
Iteration  2050: accuracy_at_1 = 14.06%; accuracy_at_5 = 45.31%; loss = 3.347598  (1.405188 s/it)
Iteration  2060: accuracy_at_1 = 10.94%; accuracy_at_5 = 28.12%; loss = 3.814552  (1.404635 s/it)
Iteration  2070: accuracy_at_1 = 14.06%; accuracy_at_5 = 46.88%; loss = 3.295790  (1.404967 s/it)
Iteration  2080: accuracy_at_1 = 20.31%; accuracy_at_5 = 45.31%; loss = 3.461827  (1.406636 s/it)
Iteration  2090: accuracy_at_1 = 14.06%; accuracy_at_5 = 42.19%; loss = 3.436902  (1.405138 s/it)
Iteration  2100: accuracy_at_1 = 23.44%; accuracy_at_5 = 46.88%; loss = 3.358370  (1.405842 s/it)
Iteration  2110: accuracy_at_1 = 21.88%; accuracy_at_5 = 46.88%; loss = 3.323095  (1.406261 s/it)
Iteration  2120: accuracy_at_1 = 18.75%; accuracy_at_5 = 40.62%; loss = 3.448257  (1.405449 s/it)
Iteration  2130: accuracy_at_1 = 17.19%; accuracy_at_5 = 43.75%; loss = 3.435462  (1.405691 s/it)
Iteration  2140: accuracy_at_1 = 21.88%; accuracy_at_5 = 48.44%; loss = 3.420803  (1.407017 s/it)
Iteration  2150: accuracy_at_1 = 12.50%; accuracy_at_5 = 34.38%; loss = 3.487759  (1.405213 s/it)
Iteration  2160: accuracy_at_1 = 20.31%; accuracy_at_5 = 40.62%; loss = 3.442138  (1.405515 s/it)
Iteration  2170: accuracy_at_1 = 18.75%; accuracy_at_5 = 48.44%; loss = 3.207437  (1.405098 s/it)
Iteration  2180: accuracy_at_1 = 23.44%; accuracy_at_5 = 50.00%; loss = 3.144305  (1.405254 s/it)
Iteration  2190: accuracy_at_1 = 17.19%; accuracy_at_5 = 37.50%; loss = 3.594176  (1.404330 s/it)
Iteration  2200: accuracy_at_1 = 21.88%; accuracy_at_5 = 42.19%; loss = 3.209473  (1.405018 s/it)
Iteration  2210: accuracy_at_1 = 12.50%; accuracy_at_5 = 37.50%; loss = 3.528620  (1.404210 s/it)
Iteration  2220: accuracy_at_1 = 17.19%; accuracy_at_5 = 37.50%; loss = 3.403553  (1.403878 s/it)
Iteration  2230: accuracy_at_1 = 17.19%; accuracy_at_5 = 46.88%; loss = 3.473075  (1.404057 s/it)
Iteration  2240: accuracy_at_1 = 17.19%; accuracy_at_5 = 43.75%; loss = 3.417780  (1.404415 s/it)
Iteration  2250: accuracy_at_1 = 17.19%; accuracy_at_5 = 50.00%; loss = 3.172094  (1.406088 s/it)
Iteration  2260: accuracy_at_1 = 14.06%; accuracy_at_5 = 43.75%; loss = 3.476675  (1.406799 s/it)
Iteration  2270: accuracy_at_1 = 17.19%; accuracy_at_5 = 45.31%; loss = 3.310329  (1.405705 s/it)
Iteration  2280: accuracy_at_1 = 31.25%; accuracy_at_5 = 59.38%; loss = 2.807482  (1.405239 s/it)
Iteration  2290: accuracy_at_1 = 18.75%; accuracy_at_5 = 54.69%; loss = 3.205342  (1.405626 s/it)
Iteration  2300: accuracy_at_1 = 14.06%; accuracy_at_5 = 45.31%; loss = 3.340300  (1.405145 s/it)
Iteration  2310: accuracy_at_1 = 18.75%; accuracy_at_5 = 53.12%; loss = 3.094221  (1.404564 s/it)
Iteration  2320: accuracy_at_1 = 23.44%; accuracy_at_5 = 46.88%; loss = 3.575414  (1.405906 s/it)
