libdc1394 error: Failed to initialize libdc1394
Training net...

Iteration     0: accuracy_at_1 = 40.23%; accuracy_at_5 = 71.09%; loss = 2.232659 
Iteration   710: accuracy_at_1 = 38.67%; accuracy_at_5 = 62.89%; loss = 2.386000  (0.412759 s/it)
Iteration   720: accuracy_at_1 = 35.55%; accuracy_at_5 = 64.45%; loss = 2.546552  (0.412002 s/it)
Iteration   730: accuracy_at_1 = 34.38%; accuracy_at_5 = 66.80%; loss = 2.523471  (0.411710 s/it)
Iteration   740: accuracy_at_1 = 37.50%; accuracy_at_5 = 68.36%; loss = 2.477190  (0.412001 s/it)
Iteration   750: accuracy_at_1 = 39.84%; accuracy_at_5 = 68.36%; loss = 2.375409  (0.412027 s/it)
Iteration   760: accuracy_at_1 = 32.42%; accuracy_at_5 = 71.09%; loss = 2.331298  (0.411930 s/it)
Iteration   770: accuracy_at_1 = 38.67%; accuracy_at_5 = 68.36%; loss = 2.351012  (0.412514 s/it)
Iteration   780: accuracy_at_1 = 37.89%; accuracy_at_5 = 69.14%; loss = 2.304851  (0.414746 s/it)
Iteration   790: accuracy_at_1 = 39.45%; accuracy_at_5 = 66.41%; loss = 2.413919  (0.412897 s/it)
Iteration   800: accuracy_at_1 = 40.62%; accuracy_at_5 = 67.58%; loss = 2.417736  (0.414235 s/it)
Iteration   810: accuracy_at_1 = 38.67%; accuracy_at_5 = 70.31%; loss = 2.448938  (0.414830 s/it)
Iteration   820: accuracy_at_1 = 42.58%; accuracy_at_5 = 69.92%; loss = 2.426447  (0.413750 s/it)
Iteration   830: accuracy_at_1 = 39.06%; accuracy_at_5 = 64.84%; loss = 2.476622  (0.412912 s/it)
Iteration   840: accuracy_at_1 = 39.45%; accuracy_at_5 = 66.80%; loss = 2.310540  (0.411581 s/it)
Iteration   850: accuracy_at_1 = 44.14%; accuracy_at_5 = 68.36%; loss = 2.444067  (0.411942 s/it)
Iteration   860: accuracy_at_1 = 37.50%; accuracy_at_5 = 67.58%; loss = 2.302438  (0.412008 s/it)
Iteration   870: accuracy_at_1 = 38.28%; accuracy_at_5 = 67.97%; loss = 2.309682  (0.411825 s/it)
Iteration   880: accuracy_at_1 = 39.06%; accuracy_at_5 = 69.53%; loss = 2.423206  (0.411843 s/it)
Iteration   890: accuracy_at_1 = 39.84%; accuracy_at_5 = 68.75%; loss = 2.318032  (0.411998 s/it)
Iteration   900: accuracy_at_1 = 35.55%; accuracy_at_5 = 67.19%; loss = 2.452899  (0.412867 s/it)
Iteration   910: accuracy_at_1 = 40.62%; accuracy_at_5 = 68.36%; loss = 2.316454  (0.413156 s/it)
Iteration   920: accuracy_at_1 = 33.20%; accuracy_at_5 = 66.41%; loss = 2.433262  (0.413022 s/it)
Iteration   930: accuracy_at_1 = 39.84%; accuracy_at_5 = 65.62%; loss = 2.392709  (0.413115 s/it)
Iteration   940: accuracy_at_1 = 42.19%; accuracy_at_5 = 67.97%; loss = 2.317161  (0.413114 s/it)
Iteration   950: accuracy_at_1 = 38.28%; accuracy_at_5 = 64.84%; loss = 2.454416  (0.413160 s/it)
Iteration   960: accuracy_at_1 = 37.50%; accuracy_at_5 = 66.80%; loss = 2.396283  (0.413051 s/it)
Iteration   970: accuracy_at_1 = 35.55%; accuracy_at_5 = 64.45%; loss = 2.617195  (0.411998 s/it)
Iteration   980: accuracy_at_1 = 37.11%; accuracy_at_5 = 68.75%; loss = 2.374182  (0.412792 s/it)
Iteration   990: accuracy_at_1 = 34.77%; accuracy_at_5 = 64.06%; loss = 2.516506  (0.413488 s/it)
Iteration  1000: accuracy_at_1 = 31.25%; accuracy_at_5 = 66.80%; loss = 2.560326  (0.413080 s/it)
Iteration  1010: accuracy_at_1 = 45.70%; accuracy_at_5 = 71.09%; loss = 2.197869  (0.411819 s/it)
Iteration  1020: accuracy_at_1 = 35.55%; accuracy_at_5 = 65.62%; loss = 2.381717  (0.411519 s/it)
Iteration  1030: accuracy_at_1 = 38.28%; accuracy_at_5 = 64.45%; loss = 2.420224  (0.412997 s/it)
Iteration  1040: accuracy_at_1 = 37.11%; accuracy_at_5 = 64.84%; loss = 2.472786  (0.413282 s/it)
Iteration  1050: accuracy_at_1 = 38.67%; accuracy_at_5 = 68.75%; loss = 2.413126  (0.413058 s/it)
Iteration  1060: accuracy_at_1 = 37.89%; accuracy_at_5 = 69.14%; loss = 2.376405  (0.413153 s/it)
Iteration  1070: accuracy_at_1 = 32.81%; accuracy_at_5 = 63.67%; loss = 2.535588  (0.413238 s/it)
Iteration  1080: accuracy_at_1 = 35.55%; accuracy_at_5 = 70.70%; loss = 2.493381  (0.413295 s/it)
Iteration  1090: accuracy_at_1 = 38.28%; accuracy_at_5 = 67.97%; loss = 2.403678  (0.412812 s/it)
Iteration  1100: accuracy_at_1 = 39.84%; accuracy_at_5 = 70.70%; loss = 2.354981  (0.411772 s/it)
Iteration  1110: accuracy_at_1 = 39.84%; accuracy_at_5 = 62.50%; loss = 2.572433  (0.411817 s/it)
Iteration  1120: accuracy_at_1 = 33.20%; accuracy_at_5 = 66.02%; loss = 2.559203  (0.412098 s/it)
Iteration  1130: accuracy_at_1 = 35.55%; accuracy_at_5 = 69.14%; loss = 2.472052  (0.411867 s/it)
Iteration  1140: accuracy_at_1 = 34.77%; accuracy_at_5 = 68.75%; loss = 2.513586  (0.411850 s/it)
Iteration  1150: accuracy_at_1 = 33.59%; accuracy_at_5 = 67.58%; loss = 2.503568  (0.411981 s/it)
Iteration  1160: accuracy_at_1 = 30.86%; accuracy_at_5 = 58.59%; loss = 2.758051  (0.413057 s/it)
Iteration  1170: accuracy_at_1 = 36.33%; accuracy_at_5 = 68.36%; loss = 2.384244  (0.416323 s/it)
Iteration  1180: accuracy_at_1 = 39.45%; accuracy_at_5 = 64.06%; loss = 2.433881  (0.415006 s/it)
Iteration  1190: accuracy_at_1 = 33.59%; accuracy_at_5 = 70.31%; loss = 2.457338  (0.413580 s/it)
Iteration  1200: accuracy_at_1 = 33.98%; accuracy_at_5 = 66.02%; loss = 2.542134  (0.412750 s/it)
Iteration  1210: accuracy_at_1 = 37.89%; accuracy_at_5 = 65.62%; loss = 2.608906  (0.413195 s/it)
Iteration  1220: accuracy_at_1 = 38.28%; accuracy_at_5 = 70.70%; loss = 2.304651  (0.412366 s/it)
Iteration  1230: accuracy_at_1 = 42.58%; accuracy_at_5 = 69.14%; loss = 2.274399  (0.411949 s/it)
Iteration  1240: accuracy_at_1 = 40.23%; accuracy_at_5 = 71.88%; loss = 2.283823  (0.411779 s/it)
Iteration  1250: accuracy_at_1 = 36.33%; accuracy_at_5 = 72.27%; loss = 2.406552  (0.412014 s/it)
Iteration  1260: accuracy_at_1 = 39.06%; accuracy_at_5 = 67.58%; loss = 2.349421  (0.412183 s/it)
Iteration  1270: accuracy_at_1 = 31.64%; accuracy_at_5 = 65.23%; loss = 2.641566  (0.412086 s/it)
Iteration  1280: accuracy_at_1 = 35.94%; accuracy_at_5 = 67.19%; loss = 2.361428  (0.412284 s/it)
Iteration  1290: accuracy_at_1 = 34.77%; accuracy_at_5 = 64.45%; loss = 2.420040  (0.413393 s/it)
Iteration  1300: accuracy_at_1 = 40.62%; accuracy_at_5 = 70.70%; loss = 2.314463  (0.413293 s/it)
Iteration  1310: accuracy_at_1 = 38.67%; accuracy_at_5 = 71.48%; loss = 2.341968  (0.413082 s/it)
Iteration  1320: accuracy_at_1 = 37.50%; accuracy_at_5 = 67.58%; loss = 2.387820  (0.413073 s/it)
Iteration  1330: accuracy_at_1 = 41.02%; accuracy_at_5 = 70.31%; loss = 2.301288  (0.413110 s/it)
Iteration  1340: accuracy_at_1 = 37.50%; accuracy_at_5 = 62.50%; loss = 2.493076  (0.413254 s/it)
Iteration  1350: accuracy_at_1 = 34.38%; accuracy_at_5 = 67.19%; loss = 2.470541  (0.413472 s/it)
Iteration  1360: accuracy_at_1 = 34.38%; accuracy_at_5 = 64.84%; loss = 2.630411  (0.413584 s/it)
Iteration  1370: accuracy_at_1 = 41.02%; accuracy_at_5 = 68.36%; loss = 2.366394  (0.413500 s/it)
Iteration  1380: accuracy_at_1 = 35.94%; accuracy_at_5 = 67.19%; loss = 2.390619  (0.411947 s/it)
Iteration  1390: accuracy_at_1 = 35.94%; accuracy_at_5 = 64.84%; loss = 2.523579  (0.411946 s/it)
Iteration  1400: accuracy_at_1 = 37.50%; accuracy_at_5 = 70.70%; loss = 2.360986  (0.411960 s/it)
Iteration  1410: accuracy_at_1 = 37.11%; accuracy_at_5 = 65.62%; loss = 2.476950  (0.412476 s/it)
Iteration  1420: accuracy_at_1 = 36.72%; accuracy_at_5 = 67.58%; loss = 2.388542  (0.413011 s/it)
Iteration  1430: accuracy_at_1 = 44.92%; accuracy_at_5 = 72.27%; loss = 2.161405  (0.413029 s/it)
Iteration  1440: accuracy_at_1 = 37.50%; accuracy_at_5 = 66.80%; loss = 2.409972  (0.413201 s/it)
Iteration  1450: accuracy_at_1 = 43.36%; accuracy_at_5 = 70.70%; loss = 2.240244  (0.412994 s/it)
Iteration  1460: accuracy_at_1 = 41.80%; accuracy_at_5 = 69.14%; loss = 2.427477  (0.413199 s/it)
Iteration  1470: accuracy_at_1 = 40.23%; accuracy_at_5 = 68.75%; loss = 2.308371  (0.412901 s/it)
Iteration  1480: accuracy_at_1 = 42.97%; accuracy_at_5 = 71.09%; loss = 2.290583  (0.411862 s/it)
Iteration  1490: accuracy_at_1 = 41.41%; accuracy_at_5 = 73.05%; loss = 2.368736  (0.412007 s/it)
Iteration  1500: accuracy_at_1 = 34.77%; accuracy_at_5 = 70.31%; loss = 2.429370  (0.411604 s/it)
Iteration  1510: accuracy_at_1 = 35.16%; accuracy_at_5 = 66.80%; loss = 2.521417  (0.412182 s/it)
Iteration  1520: accuracy_at_1 = 33.59%; accuracy_at_5 = 64.45%; loss = 2.595170  (0.412743 s/it)
Iteration  1530: accuracy_at_1 = 40.62%; accuracy_at_5 = 71.09%; loss = 2.192035  (0.412510 s/it)
Iteration  1540: accuracy_at_1 = 40.23%; accuracy_at_5 = 72.27%; loss = 2.321429  (0.414367 s/it)
Iteration  1550: accuracy_at_1 = 39.06%; accuracy_at_5 = 65.62%; loss = 2.550974  (0.414565 s/it)
Iteration  1560: accuracy_at_1 = 38.28%; accuracy_at_5 = 69.92%; loss = 2.368336  (0.416245 s/it)
Iteration  1570: accuracy_at_1 = 32.81%; accuracy_at_5 = 64.84%; loss = 2.531913  (0.413178 s/it)
Iteration  1580: accuracy_at_1 = 34.77%; accuracy_at_5 = 69.14%; loss = 2.408875  (0.412844 s/it)
Iteration  1590: accuracy_at_1 = 32.42%; accuracy_at_5 = 67.58%; loss = 2.455154  (0.412938 s/it)
Iteration  1600: accuracy_at_1 = 40.62%; accuracy_at_5 = 72.27%; loss = 2.295975  (0.412834 s/it)
Iteration  1610: accuracy_at_1 = 36.33%; accuracy_at_5 = 67.58%; loss = 2.447854  (0.411841 s/it)
Iteration  1620: accuracy_at_1 = 37.50%; accuracy_at_5 = 69.14%; loss = 2.381088  (0.411989 s/it)
Iteration  1630: accuracy_at_1 = 39.45%; accuracy_at_5 = 69.92%; loss = 2.374326  (0.411834 s/it)
Iteration  1640: accuracy_at_1 = 40.23%; accuracy_at_5 = 62.89%; loss = 2.462858  (0.411883 s/it)
Iteration  1650: accuracy_at_1 = 36.72%; accuracy_at_5 = 64.45%; loss = 2.474169  (0.411923 s/it)
Iteration  1660: accuracy_at_1 = 35.94%; accuracy_at_5 = 70.31%; loss = 2.378012  (0.411790 s/it)
Iteration  1670: accuracy_at_1 = 35.16%; accuracy_at_5 = 66.80%; loss = 2.445903  (0.412976 s/it)
Iteration  1680: accuracy_at_1 = 40.23%; accuracy_at_5 = 68.36%; loss = 2.327258  (0.413311 s/it)
Iteration  1690: accuracy_at_1 = 32.42%; accuracy_at_5 = 69.14%; loss = 2.460268  (0.413004 s/it)
Iteration  1700: accuracy_at_1 = 36.72%; accuracy_at_5 = 66.80%; loss = 2.481382  (0.413341 s/it)
Iteration  1710: accuracy_at_1 = 40.62%; accuracy_at_5 = 67.58%; loss = 2.361259  (0.413047 s/it)
Iteration  1720: accuracy_at_1 = 34.38%; accuracy_at_5 = 68.75%; loss = 2.488797  (0.413085 s/it)
Iteration  1730: accuracy_at_1 = 35.55%; accuracy_at_5 = 67.58%; loss = 2.443647  (0.413665 s/it)
Iteration  1740: accuracy_at_1 = 36.72%; accuracy_at_5 = 67.97%; loss = 2.447316  (0.413972 s/it)
Iteration  1750: accuracy_at_1 = 36.33%; accuracy_at_5 = 66.80%; loss = 2.416317  (0.413573 s/it)
Iteration  1760: accuracy_at_1 = 40.23%; accuracy_at_5 = 70.70%; loss = 2.418777  (0.413887 s/it)
Iteration  1770: accuracy_at_1 = 43.36%; accuracy_at_5 = 71.09%; loss = 2.219476  (0.412127 s/it)
Iteration  1780: accuracy_at_1 = 36.72%; accuracy_at_5 = 66.41%; loss = 2.431773  (0.411960 s/it)
Iteration  1790: accuracy_at_1 = 37.50%; accuracy_at_5 = 68.75%; loss = 2.368423  (0.412041 s/it)
Iteration  1800: accuracy_at_1 = 36.33%; accuracy_at_5 = 67.19%; loss = 2.471637  (0.413079 s/it)
Iteration  1810: accuracy_at_1 = 36.72%; accuracy_at_5 = 71.88%; loss = 2.308106  (0.413049 s/it)
Iteration  1820: accuracy_at_1 = 33.98%; accuracy_at_5 = 68.75%; loss = 2.420593  (0.413089 s/it)
Iteration  1830: accuracy_at_1 = 36.72%; accuracy_at_5 = 66.80%; loss = 2.381450  (0.413152 s/it)
Iteration  1840: accuracy_at_1 = 37.50%; accuracy_at_5 = 65.23%; loss = 2.518657  (0.413220 s/it)
Iteration  1850: accuracy_at_1 = 35.94%; accuracy_at_5 = 66.41%; loss = 2.496479  (0.413040 s/it)
Iteration  1860: accuracy_at_1 = 33.98%; accuracy_at_5 = 67.58%; loss = 2.470583  (0.412405 s/it)
Iteration  1870: accuracy_at_1 = 42.58%; accuracy_at_5 = 73.83%; loss = 2.319508  (0.412489 s/it)
Iteration  1880: accuracy_at_1 = 40.23%; accuracy_at_5 = 71.48%; loss = 2.293415  (0.411626 s/it)
Iteration  1890: accuracy_at_1 = 32.81%; accuracy_at_5 = 66.41%; loss = 2.456227  (0.411936 s/it)
Iteration  1900: accuracy_at_1 = 38.67%; accuracy_at_5 = 68.75%; loss = 2.292781  (0.411851 s/it)
Iteration  1910: accuracy_at_1 = 39.84%; accuracy_at_5 = 66.80%; loss = 2.422495  (0.412045 s/it)
Iteration  1920: accuracy_at_1 = 31.25%; accuracy_at_5 = 65.62%; loss = 2.479640  (0.412101 s/it)
Iteration  1930: accuracy_at_1 = 39.06%; accuracy_at_5 = 70.31%; loss = 2.316276  (0.414356 s/it)
Iteration  1940: accuracy_at_1 = 38.28%; accuracy_at_5 = 69.92%; loss = 2.424914  (0.414681 s/it)
Iteration  1950: accuracy_at_1 = 36.33%; accuracy_at_5 = 67.58%; loss = 2.494369  (0.414904 s/it)
Iteration  1960: accuracy_at_1 = 42.58%; accuracy_at_5 = 65.62%; loss = 2.434237  (0.415865 s/it)
Iteration  1970: accuracy_at_1 = 37.89%; accuracy_at_5 = 71.09%; loss = 2.404660  (0.412995 s/it)
Iteration  1980: accuracy_at_1 = 36.33%; accuracy_at_5 = 61.33%; loss = 2.539272  (0.413215 s/it)
Iteration  1990: accuracy_at_1 = 32.42%; accuracy_at_5 = 63.28%; loss = 2.505710  (0.412413 s/it)
Iteration  2000: accuracy_at_1 = 39.84%; accuracy_at_5 = 67.58%; loss = 2.386821  (0.411845 s/it)
Iteration  2010: accuracy_at_1 = 42.97%; accuracy_at_5 = 69.92%; loss = 2.273408  (0.412014 s/it)
Iteration  2020: accuracy_at_1 = 35.55%; accuracy_at_5 = 62.89%; loss = 2.561017  (0.411933 s/it)
Iteration  2030: accuracy_at_1 = 33.20%; accuracy_at_5 = 68.36%; loss = 2.462526  (0.411748 s/it)
Iteration  2040: accuracy_at_1 = 42.58%; accuracy_at_5 = 67.97%; loss = 2.277035  (0.412127 s/it)
Iteration  2050: accuracy_at_1 = 36.33%; accuracy_at_5 = 70.70%; loss = 2.453750  (0.412554 s/it)
Iteration  2060: accuracy_at_1 = 34.77%; accuracy_at_5 = 63.28%; loss = 2.479978  (0.413147 s/it)
Iteration  2070: accuracy_at_1 = 37.11%; accuracy_at_5 = 67.97%; loss = 2.595351  (0.412876 s/it)
Iteration  2080: accuracy_at_1 = 40.23%; accuracy_at_5 = 67.58%; loss = 2.295192  (0.413025 s/it)
Iteration  2090: accuracy_at_1 = 39.84%; accuracy_at_5 = 66.80%; loss = 2.448890  (0.413328 s/it)
Iteration  2100: accuracy_at_1 = 34.77%; accuracy_at_5 = 66.41%; loss = 2.446601  (0.413424 s/it)
Iteration  2110: accuracy_at_1 = 43.75%; accuracy_at_5 = 71.88%; loss = 2.257405  (0.413184 s/it)
Iteration  2120: accuracy_at_1 = 29.30%; accuracy_at_5 = 62.50%; loss = 2.716363  (0.412258 s/it)
Iteration  2130: accuracy_at_1 = 39.06%; accuracy_at_5 = 71.88%; loss = 2.267892  (0.413189 s/it)
Iteration  2140: accuracy_at_1 = 37.89%; accuracy_at_5 = 72.27%; loss = 2.341708  (0.413674 s/it)
Iteration  2150: accuracy_at_1 = 35.94%; accuracy_at_5 = 62.89%; loss = 2.526304  (0.413842 s/it)
Iteration  2160: accuracy_at_1 = 39.06%; accuracy_at_5 = 68.36%; loss = 2.429072  (0.412569 s/it)
Iteration  2170: accuracy_at_1 = 37.50%; accuracy_at_5 = 63.67%; loss = 2.466812  (0.412137 s/it)
Iteration  2180: accuracy_at_1 = 42.19%; accuracy_at_5 = 68.36%; loss = 2.343848  (0.413147 s/it)
Iteration  2190: accuracy_at_1 = 27.73%; accuracy_at_5 = 65.62%; loss = 2.541949  (0.413235 s/it)
Iteration  2200: accuracy_at_1 = 39.45%; accuracy_at_5 = 69.92%; loss = 2.436285  (0.413097 s/it)
Iteration  2210: accuracy_at_1 = 38.67%; accuracy_at_5 = 67.58%; loss = 2.459127  (0.412894 s/it)
Iteration  2220: accuracy_at_1 = 35.55%; accuracy_at_5 = 63.67%; loss = 2.530398  (0.413101 s/it)
Iteration  2230: accuracy_at_1 = 40.23%; accuracy_at_5 = 69.14%; loss = 2.380149  (0.413142 s/it)
Iteration  2240: accuracy_at_1 = 36.33%; accuracy_at_5 = 68.36%; loss = 2.482616  (0.413135 s/it)
Iteration  2250: accuracy_at_1 = 41.41%; accuracy_at_5 = 73.44%; loss = 2.211053  (0.411876 s/it)
Iteration  2260: accuracy_at_1 = 37.50%; accuracy_at_5 = 66.02%; loss = 2.440625  (0.411892 s/it)
Iteration  2270: accuracy_at_1 = 39.45%; accuracy_at_5 = 65.23%; loss = 2.381674  (0.411808 s/it)
Iteration  2280: accuracy_at_1 = 35.55%; accuracy_at_5 = 71.48%; loss = 2.360851  (0.411799 s/it)
Iteration  2290: accuracy_at_1 = 37.50%; accuracy_at_5 = 65.23%; loss = 2.433242  (0.411983 s/it)
Iteration  2300: accuracy_at_1 = 37.50%; accuracy_at_5 = 68.36%; loss = 2.395251  (0.412013 s/it)
Iteration  2310: accuracy_at_1 = 40.23%; accuracy_at_5 = 72.66%; loss = 2.277610  (0.413257 s/it)
Iteration  2320: accuracy_at_1 = 37.50%; accuracy_at_5 = 64.06%; loss = 2.450753  (0.414782 s/it)
